date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover_rate,stock_code,ma5,ma10,ma20,dif,dea,macd
2026-07-02,000869,15.82,15.96,16.12,15.78,12616,20124795.0,2.15,0.95,0.15,0.28,000869,15.792000000000002,16.199,16.7575,-0.6203733098408044,-0.5558336813910464,-0.12907925689951605
2026-07-03,000869,16.0,16.29,16.34,15.96,12002,19491706.0,2.38,2.07,0.33,0.26,000869,15.9,16.157,16.7035,-0.5755585920662725,-0.5597786635260916,-0.031559857080361686
2026-07-06,000869,16.45,16.65,16.75,16.22,13623,22574142.31,3.25,2.21,0.36,0.3,000869,16.058,16.155,16.6555,-0.5051703249544133,-0.548856995811756,0.08737334171468536
2026-07-07,000869,16.7,16.1,16.7,16.1,9905,16137018.1,3.6,-3.3,-0.55,0.22,000869,16.162,16.076,16.597,-0.48814053932598256,-0.5367137045146013,0.09714633037723752
2026-07-08,000869,16.21,16.37,16.48,15.92,8949,14565189.0,3.48,1.68,0.27,0.2,000869,16.274,16.067,16.552500000000002,-0.44769679800084816,-0.5189103232118507,0.1424270504220051
2026-07-09,000869,16.38,16.27,16.43,16.12,9110,14792151.88,1.89,-0.61,-0.1,0.2,000869,16.336,16.064,16.502499999999998,-0.4188853562446795,-0.4989053298184165,0.16003994714747405
2026-07-10,000869,16.29,16.29,16.45,16.01,8910,14482403.0,2.7,0.12,0.02,0.2,000869,16.336000000000002,16.118000000000002,16.4655,-0.3899432254528712,-0.47711290894530745,0.1743393669848725
2026-07-13,000869,16.28,16.15,16.4,16.1,10417,16899199.32,1.84,-0.86,-0.14,0.23,000869,16.235999999999997,16.147,16.3985,-0.3739920605823315,-0.4564887392727123,0.1649933573807616
2026-07-14,000869,16.15,16.39,16.45,16.12,8915,14569513.68,2.04,1.49,0.24,0.2,000869,16.294,16.228,16.3365,-0.3380873922583234,-0.43280846986983457,0.18944215522302232
2026-07-15,000869,16.44,16.84,16.95,16.34,13798,23088952.73,3.72,2.75,0.45,0.3,000869,16.387999999999998,16.331,16.315,-0.2702066704402739,-0.40028810998392245,0.26016287908729707
2026-07-16,000869,16.9,17.01,17.1,16.71,10874,18399714.7,2.32,1.01,0.17,0.24,000869,16.536,16.436,16.3175,-0.20038323687410653,-0.3603071353619593,0.31984779697570553
2026-07-17,000869,16.96,16.82,17.28,16.77,21130,35991232.76,3.0,-1.12,-0.19,0.46,000869,16.642000000000003,16.489,16.323,-0.15855139306159316,-0.3199559869018861,0.32280918768058586
2026-07-20,000869,16.82,17.11,17.39,16.82,17869,30757865.0,3.39,1.72,0.29,0.39,000869,16.834,16.535,16.345,-0.10083639984026149,-0.27613206948956115,0.3505913392985993
2026-07-21,000869,17.2,17.2,17.39,16.96,20408,35004345.49,2.51,0.53,0.09,0.45,000869,16.996000000000002,16.645000000000003,16.3605,-0.047289480366679015,-0.23036355166498473,0.36614814259661144
2026-07-22,000869,17.0,16.97,17.15,16.62,15740,26479354.9,3.08,-1.34,-0.23,0.35,000869,17.022,16.705000000000002,16.386000000000003,-0.02314543256980528,-0.18891992784594885,0.33154899055228715
2026-07-23,000869,16.94,16.86,16.97,16.7,10855,18276770.48,1.59,-0.65,-0.11,0.24,000869,16.991999999999997,16.764,16.414,-0.012740318967470188,-0.15368400607025312,0.28188737420556587
2026-07-24,000869,16.9,16.65,16.95,16.55,8630,14451380.0,2.37,-1.25,-0.21,0.19,000869,16.958,16.8,16.459,-0.02119511236772098,-0.1271862273297467,0.2119822299240514
